SID,ServiceStatus,ServiceName,ServiceAddress,ServiceEmail,ServiceWeb,ServiceTelephone,DateLastUpdated,rmade,raccepted,rcompleted
1,active,a,0,0,0,0,10/06/2022,279,201,174
2,active,b,1,1,1,0,17/08/2021,369,347,254
3,active,c,1,0,0,0,04/02/2021,209,164,101
4,active,d,1,1,1,1,26/09/2021,295,211,146
5,active,a,1,0,0,0,23/05/2021,443,362,267
6,active,b,1,0,0,0,06/09/2022,450,399,313
7,active,c,1,1,1,0,12/07/2022,319,279,222
8,active,d,1,0,0,0,09/07/2022,327,320,233
9,active,a,1,1,1,1,03/05/2022,277,217,137
10,active,b,1,0,0,0,11/12/2021,344,311,311
11,active,c,0,0,1,1,06/11/2022,122,93,89
12,active,d,0,1,1,0,19/01/2021,235,159,88
13,active,a,0,0,0,1,29/04/2022,480,430,375
14,active,a,1,0,1,1,03/03/2021,108,26,0
15,active,b,0,0,1,1,19/09/2021,232,226,210
16,active,c,1,1,1,1,06/08/2022,230,190,133
17,active,d,0,0,0,0,03/03/2022,2,0,0
18,active,a,1,1,0,0,05/02/2022,149,77,3
19,active,b,1,1,1,0,19/12/2022,186,109,29
20,active,c,0,0,1,1,08/09/2022,429,382,293
21,active,d,0,0,1,0,05/11/2022,361,344,269
22,active,a,0,0,1,0,15/02/2021,343,317,284
23,active,b,1,1,0,1,14/07/2021,214,201,164
24,active,c,1,0,1,0,15/07/2022,65,16,0
25,active,d,1,0,1,0,08/05/2022,417,383,330
26,active,a,0,1,1,0,25/02/2022,123,51,49
27,active,a,0,0,0,1,02/04/2022,288,243,199
28,active,b,1,0,0,1,01/09/2022,30,0,0
29,active,c,1,1,1,1,11/06/2022,66,0,0
30,active,d,0,0,1,0,04/09/2022,407,364,311
31,active,a,0,0,0,1,19/10/2022,380,363,362
32,active,b,1,0,1,1,09/05/2022,292,233,205
33,active,c,1,0,1,0,18/06/2021,471,442,353
34,active,d,0,1,0,0,01/10/2022,371,275,254
35,active,a,0,0,1,0,28/11/2021,222,182,152
36,active,b,0,0,0,0,02/09/2022,254,174,76
37,active,c,1,1,0,1,15/09/2022,215,198,153
38,active,d,1,0,0,0,17/04/2021,356,302,234
39,active,a,0,1,1,0,25/07/2022,174,152,148
40,active,a,0,0,0,0,08/02/2021,436,373,313
41,active,b,1,1,1,1,29/09/2022,360,355,310
42,active,c,1,1,1,0,28/03/2021,474,445,429
43,active,d,0,0,1,1,31/10/2022,85,67,51
44,active,a,0,0,0,0,06/11/2021,266,261,211
45,active,b,1,1,0,1,03/07/2021,439,432,421
46,active,c,0,1,0,1,26/02/2022,473,448,376
47,active,d,1,1,0,0,24/03/2021,239,182,177
48,active,a,0,0,0,0,19/05/2021,6,0,0
49,active,b,1,0,0,1,20/02/2022,442,393,327
50,active,c,1,1,0,1,10/08/2021,17,9,0
51,active,d,0,0,1,1,09/12/2021,264,248,239
52,active,a,0,1,0,1,06/02/2021,82,62,14
53,active,a,1,0,0,0,17/01/2022,300,264,175
54,active,b,0,0,1,0,20/10/2022,413,344,322
55,active,c,1,1,1,1,24/08/2021,337,251,170
56,active,d,0,0,1,0,18/01/2022,336,318,240
57,active,a,1,0,1,0,02/12/2021,216,159,138
58,active,b,1,1,1,1,06/04/2022,300,226,178
59,active,c,1,0,0,1,12/06/2022,273,192,129
60,active,d,1,1,1,0,12/11/2021,94,80,23
61,active,a,0,0,1,1,01/07/2022,304,228,149
62,active,b,0,0,1,0,05/11/2021,413,315,294
63,active,c,1,0,1,1,09/10/2022,474,417,360
64,active,d,1,0,1,0,14/02/2021,317,223,135
65,active,a,0,0,0,0,20/06/2021,436,388,309
66,active,a,1,1,1,0,17/03/2022,80,43,40
67,active,b,0,1,1,0,03/09/2021,246,170,72
68,active,c,1,1,0,0,26/05/2022,146,103,5
69,active,d,1,0,0,1,01/08/2021,402,360,317
70,active,a,1,1,0,0,19/12/2021,305,260,205
71,active,b,0,0,1,0,23/06/2022,219,194,178
72,active,c,0,0,0,0,21/03/2022,350,305,287
73,active,d,0,1,1,0,30/03/2021,58,47,42
74,active,a,1,1,0,0,09/06/2022,227,209,124
75,active,b,1,0,0,1,03/09/2021,84,63,31
76,active,c,1,0,0,0,14/07/2021,319,226,180
77,active,d,1,0,0,0,12/11/2021,407,326,288
78,active,a,0,1,0,0,03/08/2021,109,29,0
79,active,a,1,0,1,0,06/02/2021,310,262,195
80,active,b,1,0,0,0,17/05/2022,370,288,282
81,active,c,1,1,0,0,17/04/2022,196,149,143
82,active,d,0,0,0,1,27/08/2022,390,387,327
83,active,a,0,1,0,1,25/04/2022,263,249,212
84,active,b,0,1,1,0,12/07/2021,192,107,54
85,active,c,0,0,1,0,14/09/2021,205,192,108
86,active,d,0,0,0,0,22/05/2022,280,257,176
87,active,a,0,1,1,0,11/08/2021,79,30,6
88,active,b,1,0,0,0,01/03/2021,215,132,36
89,active,c,1,0,0,0,18/08/2022,364,291,220
90,active,d,1,1,0,0,24/11/2022,309,233,226
91,active,a,0,0,1,0,11/03/2022,152,131,37
92,active,a,0,1,1,1,05/02/2021,195,109,37
93,active,b,1,1,0,1,22/03/2022,40,2,0
94,active,c,0,1,1,0,19/11/2022,151,84,0
95,active,d,1,1,0,0,14/12/2022,357,340,319
96,active,a,1,0,1,1,25/04/2022,471,430,408
97,active,b,1,1,1,0,06/05/2022,360,273,266
98,active,c,0,0,1,0,10/03/2021,92,82,63
99,active,d,0,0,1,0,09/03/2021,404,381,366
100,active,a,0,1,1,1,14/06/2021,254,231,188
101,active,b,0,1,1,0,12/06/2022,279,238,160
102,active,c,1,0,1,0,24/01/2021,384,325,294
103,active,d,0,0,1,1,26/05/2021,14,0,0
104,active,a,1,0,1,1,19/07/2021,266,250,249
105,active,a,0,0,1,1,23/12/2021,345,251,224
106,active,b,0,0,0,1,23/02/2021,126,103,93
107,active,c,1,0,0,0,17/05/2022,358,322,275
108,active,d,1,0,1,1,28/09/2021,372,352,283
109,active,a,0,1,1,0,28/07/2022,40,30,0
110,active,b,0,1,1,1,29/06/2022,293,266,199
111,active,c,1,1,1,0,28/09/2021,45,0,0
112,active,d,0,0,0,0,25/03/2021,222,203,199
113,active,a,1,0,0,0,20/02/2021,448,418,319
114,active,b,0,1,1,1,28/02/2022,36,10,0
115,active,c,1,0,1,0,14/05/2022,17,0,0
116,active,d,0,0,0,0,11/11/2022,213,181,159
117,active,a,0,1,1,1,30/03/2021,34,8,0
118,active,a,0,1,1,1,09/03/2022,190,145,133
119,active,b,0,1,1,1,28/06/2022,9,0,0
120,active,c,1,0,0,0,21/06/2021,280,213,170
121,active,d,0,1,0,1,11/11/2022,413,410,327
122,active,a,0,1,0,0,14/10/2022,190,176,155
123,active,b,0,0,1,0,24/06/2021,469,457,405
124,active,c,0,1,1,0,26/04/2021,293,211,200
125,active,d,1,0,0,0,09/03/2022,147,72,12
126,active,a,0,1,0,1,23/11/2021,38,0,0
127,active,b,0,1,0,1,11/08/2022,80,17,3
128,active,c,1,1,1,0,03/09/2021,306,274,177
129,active,d,1,1,1,1,17/07/2021,497,439,362
130,active,a,0,1,0,0,25/07/2022,138,63,0
131,active,a,0,1,1,1,01/10/2022,257,211,125
132,active,b,1,1,0,0,30/05/2022,176,97,23
133,active,c,1,1,1,0,12/12/2021,92,43,0
134,active,d,1,1,0,1,15/11/2021,142,73,49
135,active,a,0,0,1,1,11/02/2021,15,0,0
136,active,b,1,0,0,1,28/01/2022,344,307,250
137,active,c,0,0,1,0,19/04/2021,397,380,309
138,active,d,1,0,0,1,21/09/2021,97,37,0
139,active,a,1,1,1,0,26/07/2021,264,199,158
140,active,b,0,1,1,0,25/02/2022,395,329,298
141,active,c,1,1,1,1,25/10/2021,94,80,23
142,active,d,1,0,0,0,18/11/2022,171,109,100
143,active,a,1,1,0,1,16/05/2022,256,183,181
144,active,a,0,0,1,0,13/11/2022,286,270,242
145,active,b,1,0,0,1,18/03/2022,391,299,299
146,active,c,1,1,1,0,22/02/2021,460,397,378
147,active,d,1,1,0,1,02/03/2022,327,250,203
148,active,a,0,1,1,1,24/08/2021,383,371,307
149,active,b,1,0,0,1,04/10/2022,401,359,318
150,active,c,1,1,0,1,03/11/2022,184,92,52
151,active,d,1,0,1,1,29/12/2021,75,45,0
152,active,a,0,0,0,1,26/11/2021,7,0,0
153,active,b,1,0,0,0,12/06/2021,262,241,185
154,active,c,0,1,0,0,13/12/2022,378,375,363
155,active,d,0,0,1,1,24/06/2021,178,90,19
156,active,a,0,0,0,1,22/02/2021,325,292,248
157,active,a,0,1,0,1,12/07/2021,192,128,87
158,active,b,1,1,1,1,12/10/2021,228,210,114
159,active,c,0,0,1,1,10/06/2022,487,438,379
160,active,d,1,0,0,1,11/02/2021,74,45,0
161,active,a,1,1,1,1,22/10/2022,478,399,312
162,active,b,0,0,1,1,11/08/2021,299,214,196
163,active,c,1,0,1,1,02/10/2022,87,17,0
164,active,d,1,1,0,1,19/07/2021,28,7,0
165,active,a,1,0,1,1,09/01/2022,371,352,318
166,active,b,0,1,1,0,28/08/2021,247,239,203
167,active,c,1,0,1,1,18/08/2022,361,333,274
168,active,d,1,1,1,1,07/07/2022,5,0,0
169,active,a,0,1,0,1,25/12/2021,164,68,23
170,active,a,0,1,1,0,21/01/2021,397,348,258
171,active,b,1,0,1,0,26/06/2021,33,2,0
172,active,c,0,1,0,0,04/06/2021,44,0,0
173,active,d,1,0,1,0,19/03/2022,59,35,0
174,active,a,1,0,1,0,13/06/2021,220,176,139
175,active,b,0,1,0,1,23/02/2021,231,202,165
176,active,c,0,1,1,0,22/09/2021,383,305,300
177,active,d,1,0,0,1,14/11/2021,41,0,0
178,active,a,1,0,0,0,27/01/2022,469,417,322
179,active,b,0,1,0,1,25/08/2022,419,396,351
180,active,c,0,0,0,0,29/08/2022,394,338,294
181,active,d,0,1,0,1,15/01/2022,206,199,171
182,active,a,0,1,0,1,23/10/2022,65,65,23
183,active,a,0,1,0,1,16/12/2022,51,0,0
184,active,b,1,0,0,0,29/01/2021,336,255,179
185,active,c,0,1,0,0,17/11/2021,220,133,101
186,active,d,1,0,0,1,10/09/2021,290,277,235
187,active,a,1,0,1,1,21/10/2021,34,0,0
188,active,b,1,0,0,0,20/04/2021,189,161,90
189,active,c,1,1,0,0,14/10/2022,381,332,237
190,active,d,0,0,0,0,25/09/2021,219,188,170
191,active,a,1,1,1,1,13/06/2021,78,50,0
192,active,b,0,1,1,1,11/10/2022,157,111,19
193,active,c,0,0,0,1,08/09/2021,451,434,412
194,active,d,0,1,1,0,05/07/2021,163,113,76
195,active,a,1,1,1,1,23/09/2021,66,54,0
196,active,a,1,1,0,0,06/12/2021,131,37,0
197,active,b,0,1,1,1,27/11/2021,345,330,254
198,active,c,0,0,0,0,10/11/2022,109,69,0
199,active,d,0,0,0,0,22/01/2022,19,0,0
200,active,a,0,0,1,0,09/08/2022,262,245,239
201,active,b,0,1,1,1,30/10/2021,237,222,217
202,active,c,1,1,0,1,12/11/2021,305,299,230
203,active,d,1,0,1,1,03/04/2021,120,82,0
204,active,a,0,0,1,0,21/05/2022,254,163,86
205,active,b,0,1,1,1,31/08/2022,178,126,86
206,active,c,0,1,0,1,31/10/2021,313,217,183
207,active,d,0,1,0,1,12/01/2022,79,19,0
208,active,a,0,0,1,1,18/05/2021,439,390,351
209,active,a,1,0,0,0,18/05/2021,390,351,351
210,active,b,1,1,1,1,18/10/2022,263,164,159
211,active,c,0,0,1,1,23/11/2022,496,470,468
212,active,d,0,0,1,0,10/05/2021,12,0,0
213,active,a,1,1,1,0,13/12/2021,435,367,352
214,active,b,1,1,1,1,09/08/2021,443,377,369
215,active,c,0,0,0,0,01/03/2022,328,262,214
216,active,d,1,1,0,0,04/07/2021,99,95,72
217,active,a,1,1,0,0,09/05/2021,385,331,330
218,active,b,1,0,1,0,01/10/2022,60,0,0
219,active,c,0,0,1,0,11/08/2021,219,128,90
220,active,d,0,0,0,1,15/12/2022,153,139,99
221,active,a,1,1,1,0,03/11/2021,323,273,240
222,active,a,1,0,1,0,06/04/2021,38,0,0
223,active,b,1,0,0,1,21/09/2022,393,298,256
224,active,c,0,0,1,1,08/06/2022,444,434,356
225,active,d,1,0,1,1,20/08/2021,237,172,82
226,active,a,1,1,0,1,04/12/2022,349,308,254
227,active,b,1,1,0,1,05/04/2021,349,283,279
228,active,c,0,0,0,1,25/11/2022,174,89,56
229,active,d,1,0,1,1,08/02/2021,130,60,23
230,active,a,1,0,0,0,29/10/2021,179,136,103
231,active,b,0,0,0,0,16/08/2021,499,472,456
232,active,c,0,1,0,0,16/07/2022,129,128,80
233,active,d,1,1,0,0,02/12/2021,162,93,4
234,active,a,1,0,1,1,28/09/2022,432,429,366
235,active,a,0,0,1,1,26/01/2022,162,160,106
236,active,b,1,0,1,0,17/12/2022,32,0,0
237,active,c,1,0,0,1,21/08/2021,15,4,0
238,active,d,1,1,0,1,20/03/2021,6,0,0
239,active,a,0,0,1,1,08/04/2022,43,0,0
240,active,b,1,0,1,0,26/12/2021,409,380,285
241,active,c,0,1,1,0,21/08/2022,137,131,60
242,inactive,d,1,1,0,0,03/10/2021,298,280,254
243,inactive,a,1,1,1,1,28/03/2021,489,443,423
244,inactive,b,1,0,0,1,02/05/2022,250,184,176
245,inactive,c,0,0,0,1,07/12/2022,195,111,47
246,inactive,d,0,1,1,1,08/06/2021,283,218,145
247,inactive,a,0,0,1,1,19/05/2021,471,464,434
248,inactive,a,1,0,0,1,21/11/2021,92,47,30
249,inactive,b,0,0,0,0,28/03/2021,195,110,67
250,inactive,c,0,0,0,0,27/07/2021,147,137,66
